,LIME,CYYZ,EDDM,ZBAA,SBGL,LTFM,VIDP,KJFK,RJAA,LEMD,CYVR,ZSPD,OMDB,SAEZ,LFPG,EDDT,MMMX,EDDF,LFQQ,EGPH,EBBR,EHEH,EFRO,LDZA,LKPR,EETN,BIKF,FACT,ESSA,LPPT,LGAV,EFHK,EIDW
CYVR,8524.300246721084,3346.065262820104,8340.059905344417,8491.592942617246,11212.325649046332,9588.351242168645,11138.384837166739,3929.667087827683,7503.3643827802725,8426.398460222947,0.0,9016.027042522252,11735.171711494506,11306.011894863244,7924.983796384183,7979.429067098594,3944.571933641011,8062.180754267541,7804.029472119836,7067.373027293543,7827.183480204533,7809.899033180775,6878.634761429539,8746.620493868128,8252.779547259795,7595.2331088364135,5701.731716788582,16465.20953208748,7411.6744673739295,8288.503867714651,9800.56504320369,7505.149627195536,7164.329817709851
ZSPD,9081.345720298381,11414.11558758609,8778.291229474024,1098.8391881220052,18271.284864397905,8021.792958328303,4292.294164011961,11872.965768605623,1795.1653470701212,10270.038168674499,9016.027042522252,0.0,6448.573340149029,19605.48726466171,9266.538821703734,8428.152127029933,12896.888950685934,8857.834873324387,9123.256093925884,9032.685343726816,9024.973770238224,8938.065932826861,7111.796723483437,8670.244773563427,8520.514010353765,7439.701976930367,8956.580903846041,12989.53522682959,7780.26414951412,10730.78496714352,8557.446927892031,7393.997300475772,9364.445984146492
OMDB,4634.411696551434,11080.592571500489,4563.68638327735,5846.428408163956,11884.360300095565,3027.9011773987722,2183.190603769457,11000.82939708662,7978.6421393820765,5648.573067280119,11735.171711494506,6448.573340149029,0.0,13675.498953376862,5238.30373722851,4634.536188630778,14328.390980757462,4842.872064752151,5233.556863398388,5776.784700011543,5147.156165772344,5102.345397401615,5027.306459147683,4162.586440529364,4463.278821580964,4471.733222742804,6885.950773003389,7644.498781549268,4784.718435844448,6137.549256169119,3271.3092464029237,4537.025110362885,5918.191105076748
SAEZ,11262.454460082292,8985.871186138354,11571.029543749757,19289.70928642004,1995.428353470573,12266.824206187948,15794.490572393017,8534.711892841717,18297.19994521465,10084.891062660701,11306.011894863244,19605.48726466171,13675.498953376862,0.0,11100.067083107158,11933.024922521272,7396.77973611544,11502.137750607373,11246.712767060582,11358.623493704585,11343.810900959297,11430.931607617464,13282.900559270385,11662.142744355435,11830.92337423204,12932.640473630083,11460.844970957083,6886.082041979985,12598.548940741373,9632.30052917482,11725.05562218717,12981.387744901565,11025.405820274522
LFPG,654.1798188036887,6018.511701618143,681.5692933331298,8189.724353071151,9184.123131785209,2213.88650722904,6565.92854943909,5833.386425117882,9709.31227814645,1064.514287652328,7924.983796384183,9266.538821703734,5238.30373722851,11100.067083107158,0.0,850.4974971095637,9198.923534624388,449.00506895345995,177.29972762352907,868.6768639079258,251.42649654422516,337.5067385741307,2358.800861619531,1079.12295434704,852.6058359792816,1837.8392888325443,2225.1176543641695,9363.399547331674,1539.1555178390888,1469.9632862919395,2108.8935232724316,1895.5582344575273,784.9693369031335
EDDT,809.2271754296073,6477.895440186134,479.5750967765883,7357.370941408385,9999.899573136834,1712.5684114372132,5785.915771305621,6367.419669376641,8941.163890156917,1853.640992836451,7979.429067098594,8428.152127029933,4634.536188630778,11933.024922521272,850.4974971095637,0.0,9713.650891230824,431.6826244968808,737.3544487142678,1142.604257606154,633.1798423077714,554.9586303035887,1701.8548750228817,784.5721209488278,281.576913555292,1043.7146044590377,2379.1423258300797,9635.66209352229,838.7723740907484,2302.6857424820937,1823.2230335509435,1118.8430222369009,1308.440821698761
MMMX,9842.13188680207,3247.890977992751,9844.86446381779,12435.185662210233,7665.076602134776,11389.29648462006,14662.708439597296,3365.6070797424704,11253.545374395047,9066.890918984103,3944.571933641011,12896.888950685934,14328.390980757462,7396.77973611544,9198.923534624388,9713.650891230824,0.0,9551.980932636412,9172.519686277623,8573.011598267407,9248.791253224706,9282.302300217629,9429.19591909452,10270.57949825156,9907.578033808217,9887.012309094367,7447.576134836068,13711.343976959879,9555.32776316363,8664.536583495246,11295.07456624003,9830.89999106367,8465.097546487645
EDDF,492.550415734113,6342.662219553331,299.0736493547062,7788.395209245619,9568.283601551813,1837.858012568955,6121.185112535329,6189.1542734461045,9366.014476753255,1422.050572145159,8062.180754267541,8857.834873324387,4842.872064752151,11502.137750607373,449.00506895345995,431.6826244968808,9551.980932636412,0.0,392.7983156454291,1032.8584656977316,304.70667836915743,274.34672759363383,2079.668281738598,734.44155732098,406.27801971921986,1467.8755620952131,2379.55963806095,9393.055953949077,1222.987175365273,1873.84706028188,1815.8370182307754,1537.9389925099097,1086.8940196113897
LFQQ,731.8948304163779,5973.892370679363,673.6101624423094,8042.99692176469,9339.141101101264,2221.5840343980844,6501.080434257892,5807.873795019511,9543.069153437295,1235.5813496072453,7804.029472119836,9123.256093925884,5233.556863398388,11246.712767060582,177.29972762352907,737.3544487142678,9172.519686277623,392.7983156454291,0.0,736.7464462666057,104.17464565809286,187.09147772320674,2186.4196889276245,1099.1833149167103,793.0800262284977,1686.475455041425,2102.4846976713584,9522.742717702058,1375.4704625714714,1624.5352370256298,2161.2853740484825,1739.9740827336304,715.1697675357511
EGPH,1461.4919162938756,5342.430556810266,1330.3366233869128,7936.25672217657,9529.814395113926,2830.767342771072,6836.246415386642,5224.818687727301,9254.53199963534,1721.1421621023853,7067.373027293543,9032.685343726816,5776.784700011543,11358.623493704585,868.6768639079258,1142.604257606154,8573.011598267407,1032.8584656977316,736.7464462666057,0.0,764.8529460052239,761.9890447440483,1927.0385770142573,1764.554368661314,1341.4084262122346,1705.517234342453,1366.1622281126076,10213.775685686389,1320.2510546542144,1956.1303624433278,2848.2113604641363,1717.6968421996937,337.2039534199319
EBBR,697.6241308496129,6043.2341631455665,596.828250612871,7945.907748157385,9432.38980302497,2141.818322400416,6399.817544030502,5885.3697807968165,9457.890709909856,1315.552739483112,7827.183480204533,9024.973770238224,5147.156165772344,11343.810900959297,251.42649654422516,633.1798423077714,9248.791253224706,304.70667836915743,104.17464565809286,764.8529460052239,0.0,87.26507901126318,2109.419990192777,1028.9384999379752,696.6701556393344,1590.7996147657782,2128.9170434945413,9538.261583682088,1287.8123921554281,1717.441913766903,2101.487122926399,1646.5424706420476,784.4652218415466
EHEH,716.9528370522909,6069.742465228985,573.3926461914037,7858.784279958065,9519.607478719365,2107.001771303601,6331.400341379829,5920.872953839785,9372.118080501896,1400.4404453661639,7809.899033180775,8938.065932826861,5102.345397401615,11430.931607617464,337.5067385741307,554.9586303035887,9282.302300217629,274.34672759363383,187.09147772320674,761.9890447440483,87.26507901126318,0.0,2026.9394149057935,1008.7302268245519,642.0340692834425,1503.538739642221,2117.6234281227908,9586.034315842975,1201.790094986564,1804.6765643174188,2089.016063229445,1559.3618854820566,818.4419646564614
EFRO,2510.9812975034515,6243.416783834656,2179.5591456309016,6013.908578937793,11451.376242794004,2818.8505107888336,5439.118104243794,6318.434484589655,7370.85294938375,3422.0000222935455,6878.634761429539,7111.796723483437,5027.306459147683,13282.900559270385,2358.800861619531,1701.8548750228817,9429.19591909452,2079.668281738598,2186.4196889276245,1927.0385770142573,2109.419990192777,2026.9394149057935,0.0,2385.7771646126907,1942.94896284112,795.9448462888196,2177.0499490729367,11195.351682199891,863.3297003586031,3783.3341214037023,3184.843224387242,695.2573510545288,2262.6890021087634
LDZA,494.3715279576347,7071.777341214486,435.372805823521,7637.516242212898,9684.845164511811,1135.558870168953,5589.209484397878,6905.329783235579,9373.225157229546,1692.5382745319923,8746.620493868128,8670.244773563427,4162.586440529364,11662.142744355435,1079.12295434704,784.5721209488278,10270.57949825156,734.44155732098,1099.1833149167103,1764.554368661314,1028.9384999379752,1008.7302268245519,2385.7771646126907,0.0,503.18469523171706,1628.0765988832688,3094.6660800724226,8867.258411800965,1551.7236859844388,2202.428641890457,1084.793589115557,1722.928893753889,1812.1546193462373
LKPR,598.695349516173,6682.817209516884,264.80111614065527,7461.550939385754,9879.080082772547,1489.3589955451396,5714.970423703678,6550.828678253268,9102.009097801203,1750.6615229202562,8252.779547259795,8520.514010353765,4463.278821580964,11830.92337423204,852.6058359792816,281.576913555292,9907.578033808217,406.27801971921986,793.0800262284977,1341.4084262122346,696.6701556393344,642.0340692834425,1942.94896284112,503.18469523171706,0.0,1234.036333291913,2628.101221542469,9358.288777530079,1086.9490092945773,2228.9079544309607,1555.754332455913,1319.6263258874899,1454.9163652752302
EETN,1829.3731684707757,6650.662663103135,1491.5970050572942,6357.094712899396,11021.75343361116,2037.0282863908224,5200.6264450305825,6649.356410602336,7898.436176812024,2883.3149200833927,7595.2331088364135,7439.701976930367,4471.733222742804,12932.640473630083,1837.8392888325443,1043.7146044590377,9887.012309094367,1467.8755620952131,1686.475455041425,1705.517234342453,1590.7996147657782,1503.538739642221,795.9448462888196,1628.0765988832688,1234.036333291913,0.0,2454.7484880957145,10399.864784061421,389.62412735087645,3307.6755735702613,2389.0689513250063,100.72063567001045,2002.9192181397093
BIKF,2826.491908642492,4202.689344520942,2669.2628149565803,7870.884193010363,9842.304164811861,4087.246738830808,7593.777972803409,4197.785190963327,8798.321608971684,2888.0069315874402,5701.731716788582,8956.580903846041,6885.950773003389,11460.844970957083,2225.1176543641695,2379.1423258300797,7447.576134836068,2379.55963806095,2102.4846976713584,1366.1622281126076,2128.9170434945413,2117.6234281227908,2177.0499490729367,3094.6660800724226,2628.101221542469,2454.7484880957145,0.0,11472.045420118653,2109.0743457943413,2942.307926147029,4176.891888856657,2409.583253800543,1486.395041095137
FACT,8900.787773541293,13136.631844292497,9179.18835595483,12967.734897763023,6087.871598998781,8429.362191332484,9282.845350520629,12560.803274067739,14780.473523154042,8584.107113717999,16465.20953208748,12989.53522682959,7644.498781549268,6886.082041979985,9363.399547331674,9635.66209352229,13711.343976959879,9393.055953949077,9522.742717702058,10213.775685686389,9538.261583682088,9586.034315842975,11195.351682199891,8867.258411800965,9358.288777530079,10399.864784061421,11472.045420118653,0.0,10410.637422820557,8579.965571388671,8014.8303514408435,10500.580656352362,10009.776088175524
ESSA,1647.7243899240607,6311.706893929508,1317.3110466843007,6691.864080722933,10709.342326685113,2177.481833179683,5583.875141564338,6291.593874633475,8170.395509786672,2601.3493707511634,7411.6744673739295,7780.26414951412,4784.718435844448,12598.548940741373,1539.1555178390888,838.7723740907484,9555.32776316363,1222.987175365273,1375.4704625714714,1320.2510546542144,1287.8123921554281,1201.790094986564,863.3297003586031,1551.7236859844388,1086.9490092945773,389.62412735087645,2109.0743457943413,10410.637422820557,0.0,2998.3052371348076,2452.3533525122343,398.5689357775947,1624.7526881721867
LPPT,1724.0154738241492,5739.078245285105,1983.6079398270863,9657.682879314776,7714.979604082941,3211.7174335800105,7767.803301105655,5404.309620041176,11153.913596141403,512.8845584370001,8288.503867714651,10730.78496714352,6137.549256169119,9632.30052917482,1469.9632862919395,2302.6857424820937,8664.536583495246,1873.84706028188,1624.5352370256298,1956.1303624433278,1717.441913766903,1804.6765643174188,3783.3341214037023,2202.428641890457,2228.9079544309607,3307.6755735702613,2942.307926147029,8579.965571388671,2998.3052371348076,0.0,2870.399397724636,3363.876975912895,1642.4746695558613
LGAV,1457.2765076695869,8127.399159836934,1517.8783303811158,7607.430542904929,9730.98460712888,552.3631359390542,4983.851376266188,7932.455806289573,9532.669034889863,2377.4313326404604,9800.56504320369,8557.446927892031,3271.3092464029237,11725.05562218717,2108.8935232724316,1823.2230335509435,11295.07456624003,1815.8370182307754,2161.2853740484825,2848.2113604641363,2101.487122926399,2089.016063229445,3184.843224387242,1084.793589115557,1555.754332455913,2389.0689513250063,4176.891888856657,8014.8303514408435,2452.3533525122343,2870.399397724636,0.0,2489.6794411140104,2875.9209801847924
EFHK,1912.2938553387621,6598.71606358994,1574.5399279099283,6308.537771925007,11078.85214073269,2134.8799157182702,5223.847444426262,6606.914800539541,7828.74735963798,2947.4320721225527,7505.149627195536,7393.997300475772,4537.025110362885,12981.387744901565,1895.5582344575273,1118.8430222369009,9830.89999106367,1537.9389925099097,1739.9740827336304,1717.6968421996937,1646.5424706420476,1559.3618854820566,695.2573510545288,1722.928893753889,1319.6263258874899,100.72063567001045,2409.583253800543,10500.580656352362,398.5689357775947,3363.876975912895,2489.6794411140104,0.0,2023.288540062737
EIDW,1433.663567238871,5259.66456365284,1381.2860601870107,8268.747197889683,9192.749867185408,2924.4683551417634,7074.36258815461,5102.730002183939,9590.00408587783,1454.225118962622,7164.329817709851,9364.445984146492,5918.191105076748,11025.405820274522,784.9693369031335,1308.440821698761,8465.097546487645,1086.8940196113897,715.1697675357511,337.2039534199319,784.4652218415466,818.4419646564614,2262.6890021087634,1812.1546193462373,1454.9163652752302,2002.9192181397093,1486.395041095137,10009.776088175524,1624.7526881721867,1642.4746695558613,2875.9209801847924,2023.288540062737,0.0
