,Origin,Destination,Total_pax,Connected_at
370,SBGL,MMMX,0.0,LIRF
371,SBGL,CYVR,0.0,LIRF
372,SBGL,EDDF,0.0,LIRF
373,SBGL,KJFK,0.0,LIRF
374,SBGL,SBGL,-0.0,LIRF
375,SBGL,LEMD,0.0,LIRF
376,SBGL,ZSPD,0.0,LIRF
377,SBGL,OMDB,0.0,LIRF
378,SBGL,LTFM,0.0,LIRF
379,SBGL,ZBAA,0.0,LIRF
380,SBGL,VIDP,0.0,LIRF
381,SBGL,EFRO,0.0,LIRF
382,SBGL,EHEH,0.0,LIRF
383,SBGL,EFHK,0.0,LIRF
384,SBGL,LDZA,0.0,LIRF
385,SBGL,EBBR,0.0,LIRF
386,SBGL,EIDW,0.0,LIRF
387,SBGL,LGAV,0.0,LIRF
388,SBGL,BIKF,0.0,LIRF
389,SBGL,EETN,0.0,LIRF
390,SBGL,LKPR,0.0,LIRF
391,SBGL,FACT,0.0,LIRF
392,SBGL,ESSA,0.0,LIRF
393,SBGL,EGPH,0.0,LIRF
394,SBGL,LFQQ,0.0,LIRF
395,SBGL,LPPT,0.0,LIRF
396,LEMD,LIRF,0.0,LIRF
397,LEMD,EDDT,0.0,LIRF
398,LEMD,RJAA,0.0,LIRF
399,LEMD,EDDM,0.0,LIRF
400,LEMD,LFPG,0.0,LIRF
401,LEMD,SAEZ,0.0,LIRF
402,LEMD,CYYZ,0.0,LIRF
403,LEMD,MMMX,0.0,LIRF
404,LEMD,CYVR,0.0,LIRF
405,LEMD,EDDF,0.0,LIRF
406,LEMD,KJFK,0.0,LIRF
407,LEMD,SBGL,0.0,LIRF
408,LEMD,LEMD,-0.0,LIRF
409,LEMD,ZSPD,0.0,LIRF
410,LEMD,OMDB,0.0,LIRF
411,LEMD,LTFM,0.0,LIRF
412,LEMD,ZBAA,0.0,LIRF
413,LEMD,VIDP,0.0,LIRF
414,LEMD,EFRO,0.0,LIRF
415,LEMD,EHEH,0.0,LIRF
416,LEMD,EFHK,0.0,LIRF
417,LEMD,LDZA,0.0,LIRF
418,LEMD,EBBR,0.0,LIRF
419,LEMD,EIDW,0.0,LIRF
420,LEMD,LGAV,0.0,LIRF
421,LEMD,BIKF,0.0,LIRF
422,LEMD,EETN,0.0,LIRF
423,LEMD,LKPR,0.0,LIRF
424,LEMD,FACT,0.0,LIRF
425,LEMD,ESSA,0.0,LIRF
426,LEMD,EGPH,0.0,LIRF
427,LEMD,LFQQ,0.0,LIRF
428,LEMD,LPPT,0.0,LIRF
429,ZSPD,LIRF,0.0,LIRF
430,ZSPD,EDDT,0.0,LIRF
431,ZSPD,RJAA,0.0,LIRF
432,ZSPD,EDDM,0.0,LIRF
433,ZSPD,LFPG,0.0,LIRF
434,ZSPD,SAEZ,0.0,LIRF
435,ZSPD,CYYZ,0.0,LIRF
436,ZSPD,MMMX,0.0,LIRF
437,ZSPD,CYVR,0.0,LIRF
438,ZSPD,EDDF,0.0,LIRF
439,ZSPD,KJFK,0.0,LIRF
440,ZSPD,SBGL,0.0,LIRF
441,ZSPD,LEMD,0.0,LIRF
442,ZSPD,ZSPD,-0.0,LIRF
443,ZSPD,OMDB,0.0,LIRF
444,ZSPD,LTFM,0.0,LIRF
445,ZSPD,ZBAA,0.0,LIRF
446,ZSPD,VIDP,0.0,LIRF
447,ZSPD,EFRO,0.0,LIRF
448,ZSPD,EHEH,0.0,LIRF
449,ZSPD,EFHK,0.0,LIRF
450,ZSPD,LDZA,0.0,LIRF
451,ZSPD,EBBR,0.0,LIRF
452,ZSPD,EIDW,0.0,LIRF
453,ZSPD,LGAV,0.0,LIRF
454,ZSPD,BIKF,0.0,LIRF
455,ZSPD,EETN,0.0,LIRF
456,ZSPD,LKPR,0.0,LIRF
457,ZSPD,FACT,0.0,LIRF
458,ZSPD,ESSA,0.0,LIRF
459,ZSPD,EGPH,0.0,LIRF
460,ZSPD,LFQQ,0.0,LIRF
461,ZSPD,LPPT,0.0,LIRF
462,OMDB,LIRF,0.0,LIRF
463,OMDB,EDDT,0.0,LIRF
464,OMDB,RJAA,0.0,LIRF
465,OMDB,EDDM,0.0,LIRF
466,OMDB,LFPG,0.0,LIRF
467,OMDB,SAEZ,0.0,LIRF
468,OMDB,CYYZ,0.0,LIRF
469,OMDB,MMMX,0.0,LIRF
470,OMDB,CYVR,0.0,LIRF
471,OMDB,EDDF,0.0,LIRF
472,OMDB,KJFK,0.0,LIRF
473,OMDB,SBGL,0.0,LIRF
474,OMDB,LEMD,0.0,LIRF
475,OMDB,ZSPD,0.0,LIRF
476,OMDB,OMDB,-0.0,LIRF
477,OMDB,LTFM,0.0,LIRF
478,OMDB,ZBAA,0.0,LIRF
479,OMDB,VIDP,0.0,LIRF
480,OMDB,EFRO,0.0,LIRF
481,OMDB,EHEH,0.0,LIRF
482,OMDB,EFHK,0.0,LIRF
483,OMDB,LDZA,0.0,LIRF
484,OMDB,EBBR,0.0,LIRF
485,OMDB,EIDW,0.0,LIRF
486,OMDB,LGAV,0.0,LIRF
487,OMDB,BIKF,0.0,LIRF
488,OMDB,EETN,0.0,LIRF
489,OMDB,LKPR,0.0,LIRF
490,OMDB,FACT,0.0,LIRF
491,OMDB,ESSA,0.0,LIRF
492,OMDB,EGPH,0.0,LIRF
493,OMDB,LFQQ,0.0,LIRF
494,OMDB,LPPT,0.0,LIRF
495,LTFM,LIRF,0.0,LIRF
496,LTFM,EDDT,0.0,LIRF
497,LTFM,RJAA,0.0,LIRF
498,LTFM,EDDM,0.0,LIRF
499,LTFM,LFPG,0.0,LIRF
500,LTFM,SAEZ,0.0,LIRF
501,LTFM,CYYZ,0.0,LIRF
502,LTFM,MMMX,0.0,LIRF
503,LTFM,CYVR,0.0,LIRF
504,LTFM,EDDF,0.0,LIRF
505,LTFM,KJFK,0.0,LIRF
506,LTFM,SBGL,0.0,LIRF
507,LTFM,LEMD,0.0,LIRF
508,LTFM,ZSPD,0.0,LIRF
509,LTFM,OMDB,0.0,LIRF
510,LTFM,LTFM,-0.0,LIRF
511,LTFM,ZBAA,0.0,LIRF
512,LTFM,VIDP,0.0,LIRF
513,LTFM,EFRO,0.0,LIRF
514,LTFM,EHEH,0.0,LIRF
515,LTFM,EFHK,0.0,LIRF
