,ICAO Code_origin,ICAO Code_destination,Origin,Destination,Line,Total_flights_AC_1,Total_flights_AC_2,Total_flights_AC_3,Total_pax,OD_pair
51,EDDT,EFRO,POINT (13.2877 52.5597),POINT (25.8275 66.55800000000001),"LINESTRING (13.2877 52.5597, 25.8275 66.55800000000001)",0.0,0.0,0.0,0.0,EDDT_EFRO
52,EDDT,EHEH,POINT (13.2877 52.5597),POINT (5.3784 51.4505),"LINESTRING (13.2877 52.5597, 5.3784 51.4505)",1.0,-0.0,-0.0,31.0,EDDT_EHEH
53,EDDT,EFHK,POINT (13.2877 52.5597),POINT (24.9633 60.3172),"LINESTRING (13.2877 52.5597, 24.9633 60.3172)",1.0,-0.0,-0.0,56.0,EDDT_EFHK
54,EDDT,LDZA,POINT (13.2877 52.5597),POINT (16.0675 45.7407),"LINESTRING (13.2877 52.5597, 16.0675 45.7407)",1.0,-0.0,-0.0,39.0,EDDT_LDZA
55,EDDT,EBBR,POINT (13.2877 52.5597),POINT (4.4859 50.9002),"LINESTRING (13.2877 52.5597, 4.4859 50.9002)",1.0,-0.0,-0.0,56.0,EBBR_EDDT
56,EDDT,EIDW,POINT (13.2877 52.5597),POINT (-6.2701 53.4213),"LINESTRING (13.2877 52.5597, -6.2701 53.4213)",1.0,-0.0,-0.0,56.0,EDDT_EIDW
57,EDDT,LGAV,POINT (13.2877 52.5597),POINT (23.948 37.9362),"LINESTRING (13.2877 52.5597, 23.948 37.9362)",1.0,-0.0,-0.0,56.0,EDDT_LGAV
58,EDDT,BIKF,POINT (13.2877 52.5597),POINT (-21.9466 64.1318),"LINESTRING (13.2877 52.5597, -21.9466 64.1318)",0.0,0.0,0.0,0.0,BIKF_EDDT
59,EDDT,EETN,POINT (13.2877 52.5597),POINT (24.8165 59.4144),"LINESTRING (13.2877 52.5597, 24.8165 59.4144)",1.0,-0.0,-0.0,30.0,EDDT_EETN
60,EDDT,LKPR,POINT (13.2877 52.5597),POINT (14.2632 50.1018),"LINESTRING (13.2877 52.5597, 14.2632 50.1018)",2.0,0.0,-0.0,88.0,EDDT_LKPR
61,EDDT,FACT,POINT (13.2877 52.5597),POINT (18.6021 -33.9715),"LINESTRING (13.2877 52.5597, 18.6021 -33.9715)",0.0,0.0,0.0,0.0,EDDT_FACT
62,EDDT,ESSA,POINT (13.2877 52.5597),POINT (17.9186 59.6519),"LINESTRING (13.2877 52.5597, 17.9186 59.6519)",-0.0,1.0,-0.0,85.0,EDDT_ESSA
63,EDDT,EGPH,POINT (13.2877 52.5597),POINT (-3.3725 55.95),"LINESTRING (13.2877 52.5597, -3.3725 55.95)",1.0,-0.0,-0.0,31.0,EDDT_EGPH
64,EDDT,LFQQ,POINT (13.2877 52.5597),POINT (3.1025 50.5669),"LINESTRING (13.2877 52.5597, 3.1025 50.5669)",1.0,-0.0,-0.0,56.0,EDDT_LFQQ
65,EDDT,LPPT,POINT (13.2877 52.5597),POINT (-9.135899999999999 38.7813),"LINESTRING (13.2877 52.5597, -9.135899999999999 38.7813)",1.0,-0.0,-0.0,56.0,EDDT_LPPT
