,Origin,Destination,Total_flights
272,CYVR,CYVR,0.0
273,CYVR,EDDF,0.0
274,CYVR,KJFK,0.0
275,CYVR,SBGL,0.0
276,CYVR,LEMD,0.0
277,CYVR,ZSPD,0.0
278,CYVR,OMDB,0.0
279,CYVR,LTFM,0.0
280,CYVR,ZBAA,0.0
281,CYVR,VIDP,0.0
282,CYVR,EFRO,0.0
283,CYVR,EHEH,0.0
284,CYVR,EFHK,0.0
285,CYVR,LDZA,0.0
286,CYVR,EBBR,0.0
287,CYVR,EIDW,0.0
288,CYVR,LGAV,0.0
289,CYVR,BIKF,0.0
290,CYVR,EETN,0.0
291,CYVR,LKPR,0.0
292,CYVR,FACT,0.0
293,CYVR,ESSA,0.0
294,CYVR,EGPH,0.0
295,CYVR,LFQQ,0.0
296,CYVR,LPPT,0.0
297,EDDF,LIRF,-0.0
298,EDDF,EDDT,-0.0
299,EDDF,RJAA,1.0
300,EDDF,EDDM,-0.0
301,EDDF,LFPG,-0.0
302,EDDF,SAEZ,0.0
303,EDDF,CYYZ,0.0
304,EDDF,MMMX,0.0
305,EDDF,CYVR,0.0
306,EDDF,EDDF,0.0
307,EDDF,KJFK,0.0
308,EDDF,SBGL,0.0
309,EDDF,LEMD,-0.0
310,EDDF,ZSPD,-0.0
311,EDDF,OMDB,0.0
312,EDDF,LTFM,0.0
313,EDDF,ZBAA,-0.0
314,EDDF,VIDP,0.0
315,EDDF,EFRO,0.0
316,EDDF,EHEH,-0.0
317,EDDF,EFHK,0.0
318,EDDF,LDZA,-0.0
319,EDDF,EBBR,-0.0
320,EDDF,EIDW,0.0
321,EDDF,LGAV,0.0
322,EDDF,BIKF,0.0
323,EDDF,EETN,0.0
324,EDDF,LKPR,-0.0
325,EDDF,FACT,0.0
326,EDDF,ESSA,0.0
327,EDDF,EGPH,0.0
328,EDDF,LFQQ,-0.0
329,EDDF,LPPT,0.0
330,KJFK,LIRF,1.0
331,KJFK,EDDT,1.0
332,KJFK,RJAA,1.0
333,KJFK,EDDM,1.0
334,KJFK,LFPG,1.0
335,KJFK,SAEZ,1.0
336,KJFK,CYYZ,1.0
337,KJFK,MMMX,1.0
338,KJFK,CYVR,0.0
339,KJFK,EDDF,0.0
340,KJFK,KJFK,0.0
341,KJFK,SBGL,1.0
342,KJFK,LEMD,0.0
343,KJFK,ZSPD,1.0
344,KJFK,OMDB,0.0
345,KJFK,LTFM,1.0
346,KJFK,ZBAA,1.0
347,KJFK,VIDP,1.0
348,KJFK,EFRO,0.0
349,KJFK,EHEH,0.0
350,KJFK,EFHK,0.0
351,KJFK,LDZA,0.0
352,KJFK,EBBR,0.0
353,KJFK,EIDW,0.0
354,KJFK,LGAV,1.0
355,KJFK,BIKF,0.0
356,KJFK,EETN,0.0
357,KJFK,LKPR,0.0
358,KJFK,FACT,0.0
359,KJFK,ESSA,1.0
360,KJFK,EGPH,0.0
361,KJFK,LFQQ,0.0
362,KJFK,LPPT,0.0
363,SBGL,LIRF,1.0
364,SBGL,EDDT,0.0
365,SBGL,RJAA,0.0
366,SBGL,EDDM,0.0
367,SBGL,LFPG,1.0
368,SBGL,SAEZ,-0.0
369,SBGL,CYYZ,1.0
370,SBGL,MMMX,1.0
371,SBGL,CYVR,0.0
372,SBGL,EDDF,0.0
373,SBGL,KJFK,1.0
374,SBGL,SBGL,0.0
375,SBGL,LEMD,-0.0
376,SBGL,ZSPD,0.0
377,SBGL,OMDB,0.0
378,SBGL,LTFM,1.0
379,SBGL,ZBAA,0.0
380,SBGL,VIDP,0.0
381,SBGL,EFRO,0.0
382,SBGL,EHEH,0.0
383,SBGL,EFHK,0.0
384,SBGL,LDZA,0.0
385,SBGL,EBBR,0.0
386,SBGL,EIDW,0.0
387,SBGL,LGAV,0.0
388,SBGL,BIKF,0.0
389,SBGL,EETN,0.0
390,SBGL,LKPR,0.0
391,SBGL,FACT,0.0
392,SBGL,ESSA,0.0
393,SBGL,EGPH,0.0
394,SBGL,LFQQ,0.0
395,SBGL,LPPT,0.0
396,LEMD,LIRF,-0.0
397,LEMD,EDDT,0.0
398,LEMD,RJAA,1.0
399,LEMD,EDDM,-0.0
400,LEMD,LFPG,1.0
401,LEMD,SAEZ,0.0
402,LEMD,CYYZ,0.0
403,LEMD,MMMX,1.0
404,LEMD,CYVR,0.0
405,LEMD,EDDF,-0.0
406,LEMD,KJFK,0.0
407,LEMD,SBGL,0.0
408,LEMD,LEMD,0.0
409,LEMD,ZSPD,1.0
410,LEMD,OMDB,0.0
411,LEMD,LTFM,0.0
412,LEMD,ZBAA,1.0
413,LEMD,VIDP,1.0
414,LEMD,EFRO,0.0
415,LEMD,EHEH,0.0
416,LEMD,EFHK,0.0
417,LEMD,LDZA,0.0
418,LEMD,EBBR,-0.0
419,LEMD,EIDW,-0.0
420,LEMD,LGAV,0.0
421,LEMD,BIKF,0.0
422,LEMD,EETN,0.0
423,LEMD,LKPR,0.0
424,LEMD,FACT,0.0
425,LEMD,ESSA,0.0
426,LEMD,EGPH,0.0
427,LEMD,LFQQ,0.0
428,LEMD,LPPT,-0.0
429,ZSPD,LIRF,1.0
430,ZSPD,EDDT,1.0
431,ZSPD,RJAA,1.0
432,ZSPD,EDDM,0.0
433,ZSPD,LFPG,1.0
434,ZSPD,SAEZ,0.0
435,ZSPD,CYYZ,1.0
436,ZSPD,MMMX,0.0
437,ZSPD,CYVR,0.0
438,ZSPD,EDDF,0.0
439,ZSPD,KJFK,1.0
440,ZSPD,SBGL,0.0
441,ZSPD,LEMD,1.0
442,ZSPD,ZSPD,0.0
443,ZSPD,OMDB,1.0
444,ZSPD,LTFM,1.0
445,ZSPD,ZBAA,1.0
446,ZSPD,VIDP,1.0
447,ZSPD,EFRO,0.0
448,ZSPD,EHEH,0.0
449,ZSPD,EFHK,0.0
450,ZSPD,LDZA,0.0
451,ZSPD,EBBR,0.0
452,ZSPD,EIDW,0.0
453,ZSPD,LGAV,-0.0
454,ZSPD,BIKF,0.0
455,ZSPD,EETN,0.0
456,ZSPD,LKPR,0.0
457,ZSPD,FACT,0.0
458,ZSPD,ESSA,0.0
459,ZSPD,EGPH,0.0
460,ZSPD,LFQQ,0.0
461,ZSPD,LPPT,0.0
462,OMDB,LIRF,0.0
463,OMDB,EDDT,0.0
464,OMDB,RJAA,1.0
465,OMDB,EDDM,0.0
466,OMDB,LFPG,0.0
467,OMDB,SAEZ,0.0
468,OMDB,CYYZ,0.0
469,OMDB,MMMX,0.0
470,OMDB,CYVR,0.0
471,OMDB,EDDF,0.0
472,OMDB,KJFK,0.0
473,OMDB,SBGL,0.0
474,OMDB,LEMD,0.0
475,OMDB,ZSPD,1.0
476,OMDB,OMDB,0.0
477,OMDB,LTFM,0.0
478,OMDB,ZBAA,0.0
479,OMDB,VIDP,-0.0
480,OMDB,EFRO,0.0
481,OMDB,EHEH,0.0
482,OMDB,EFHK,0.0
483,OMDB,LDZA,0.0
484,OMDB,EBBR,0.0
485,OMDB,EIDW,0.0
486,OMDB,LGAV,0.0
487,OMDB,BIKF,0.0
488,OMDB,EETN,0.0
489,OMDB,LKPR,0.0
490,OMDB,FACT,0.0
491,OMDB,ESSA,0.0
492,OMDB,EGPH,0.0
493,OMDB,LFQQ,0.0
494,OMDB,LPPT,0.0
495,LTFM,LIRF,-0.0
496,LTFM,EDDT,-0.0
497,LTFM,RJAA,1.0
498,LTFM,EDDM,-0.0
499,LTFM,LFPG,-0.0
500,LTFM,SAEZ,0.0
501,LTFM,CYYZ,1.0
