,level_0,level_1,LIRF,EDDT,RJAA,EDDM,LFPG,SAEZ,CYYZ,MMMX,CYVR,EDDF,KJFK,SBGL,LEMD,ZSPD,OMDB,LTFM,ZBAA,VIDP,EFRO,EHEH,EFHK,LDZA,EBBR,EIDW,LGAV,BIKF,EETN,LKPR,FACT,ESSA,EGPH,LFQQ,LPPT
34,AC_2,EDDT,5246.836717244531,1250.0,47833.828323286034,3743.6742786095747,5681.390642830657,63149.33992277851,35013.12101609429,51810.615602689155,42847.16700151713,3498.081343329164,34432.04936909734,53107.59692224115,10895.091926713449,45149.56769849511,25352.640655246047,10161.121181297476,39590.497069596255,31370.394059070342,10113.612155272009,4143.040469003909,7077.616059186169,5328.886853178867,4550.453825558972,8072.148400616688,10726.873902749168,13651.556261153037,6686.718609881388,2714.379900786546,51142.03653618751,5616.023801144715,7206.489068421917,5093.36764635299,13233.64316551374
35,AC_2,RJAA,37001.71878002996,47833.828323286034,1250.0,50047.528719336355,51832.71557895654,96378.79543083272,54900.38885832211,59828.005976606524,40341.460410280764,50045.52145402394,57656.00127823907,97529.17194734327,57353.46696762786,10595.969493836978,42792.328236709174,48030.15783500951,12361.114323418653,32021.37902866445,39650.6764869115,50078.126509873146,42038.5946091686,50080.13118172566,50524.551592009535,51214.02009922789,50902.82208365502,47092.55798591248,42401.83235491143,48670.47253173784,78053.78488052964,43819.36342964154,49467.71535598825,50967.97419813489,59341.83307548001
36,AC_2,EDDM,3538.527859859787,3743.6742786095747,50047.528719336355,1250.0,4802.718202387289,61270.62239380558,35853.76866616606,52495.35339459924,44721.74869073987,2807.293701609933,35021.47967642828,51116.81821321125,9042.173690652005,46972.942501269965,24990.467173893885,9310.292140101272,41488.3219884828,31968.471849668815,12597.549439914834,4236.148395674167,9446.798153183296,3516.114308749702,4359.302017995617,8447.970426292457,9143.256879719558,15157.174859386058,9015.170569486796,2628.2506645509893,48769.20514312697,8104.296667649671,8178.962776477849,4760.17739530299,11576.394523172245
37,AC_2,LFPG,4891.942785573087,5681.390642830657,51832.71557895654,4802.718202387289,1250.0,58807.93537166779,32617.11628195886,49130.57035365447,42559.60138141566,3590.234393910542,31647.89518727219,48855.349646148476,6782.786984898233,49516.27806674653,28507.73065686322,12782.112617341716,43925.798080645625,35438.97081362795,13535.516510792982,3006.3698349213105,11124.489191807146,6872.778130813551,2558.1761036945513,5338.221028399081,12226.446043193868,12840.269579808803,10824.349264905004,5694.377910775219,49730.667204912424,9264.863854882955,5770.249473304383,2171.816005879163,8894.370392734389
38,AC_2,SAEZ,41374.859516393226,63149.33992277851,96378.79543083272,61270.62239380558,58807.93537166779,1250.0,47773.00698748925,39589.06978344075,59883.47423473261,60905.59696934381,45426.066508200565,11616.226264463594,53533.763202469185,103089.08610138202,72319.27908576667,64925.50596024883,101480.41714190599,83352.49477662425,70169.1761443304,60529.28864980945,68606.36890872852,61754.64596282007,60075.7098581304,58403.897708466146,62108.51575382834,60652.424075737,68353.71103249994,62622.96659494462,37115.1956000386,66608.26531951585,60138.42294345159,59569.34191815386,51175.37943941027
39,AC_2,CYYZ,26721.763879599435,35013.12101609429,54900.38885832211,35853.76866616606,32617.11628195886,47773.00698748925,1250.0,18107.958526001137,18687.924247359202,34307.07074763552,4307.10931086154,44102.32849026242,32819.00797858189,60691.949623570006,58943.95353903441,43826.888198630404,56265.65201994263,61857.35589698109,33792.3760009564,32885.25898305925,35645.04290525455,38103.56496927242,32746.86695306122,28663.10160733662,43593.46270601193,23147.921808981304,35915.738779478015,36079.92057018997,69460.46203678608,34148.523749634674,29094.70617464783,32385.307040447384,31151.902777741056
40,AC_2,MMMX,38128.30131433132,51810.615602689155,59828.005976606524,52495.35339459924,49130.57035365447,39589.06978344075,18107.958526001137,1250.0,21729.936150857025,50969.343406800435,18732.86019868918,41040.78989082648,48445.70511569697,68371.78925915653,75801.79633412253,60535.41390926119,65974.58683769013,77532.91822321145,50322.37534166961,49563.905063035054,52418.56098117718,54712.69819386726,49389.557436842,45304.43297138867,60044.610170599844,39989.4941283284,52711.269774996195,52821.511565853754,72523.43836634193,50982.864751935405,45865.19906882016,48992.34155550806,46350.813978662285
41,AC_2,CYVR,33713.225072041314,42847.16700151713,40341.460410280764,44721.74869073987,42559.60138141566,59883.47423473261,18687.924247359202,21729.936150857025,1250.0,43275.74566273794,21725.603180363636,59448.03627852225,45159.6873184049,48211.52745075396,62351.10769223086,51213.67089708561,45498.63685574449,59255.03016797773,37116.68135659035,41962.51814184211,40380.92739214081,46836.47731452569,42052.026989027225,38599.55296177645,52312.49681513935,30978.45132370186,40850.024492498946,44269.05739745681,86801.04558749388,39893.23445936839,38096.031318382426,41931.003842140984,44438.18746721146
42,AC_2,EDDF,4370.653402468891,3498.081343329164,50045.52145402394,2807.293701609933,3590.234393910542,60905.59696934381,34307.07074763552,50969.343406800435,43275.74566273794,1250.0,33502.32561423954,50859.814249606585,8647.476708524271,47387.72924127311,26443.913705531122,10819.66304429716,41835.382713011786,33120.29080864647,12080.48324847635,2678.9971458476166,9260.00884169843,5073.383533840714,2838.0859174745674,6914.920984970952,10694.789299810538,13648.848984147979,8895.535625925755,3367.9865396931295,49881.84358216927,7616.410939398847,6630.007606243744,3297.616315640544,11000.460354307108
43,AC_2,KJFK,25920.768713824345,34432.04936909734,57656.00127823907,35021.47967642828,31647.89518727219,45426.066508200565,4307.10931086154,18732.86019868918,21725.603180363636,33502.32561423954,1250.0,41280.40635264548,31271.36175038309,63075.53340494647,58527.55189320346,43071.947812824226,58433.43565331953,62457.11392692996,34176.04157218912,32104.358069055852,35681.146571002435,37232.30639105526,31919.224989252863,27839.60487293831,42575.30361860608,23114.09899132399,35902.43103471373,35387.267597275866,66464.45647669531,34037.105555255366,28475.562865643577,31515.25620866114,29406.11638177636
