,ICAO Code_origin,ICAO Code_destination,City Name_origin,City Name_destination,Origin,Destination,Direct_flights,Transfer_flights,Total_flights_AC_1,Total_flights_AC_2,Total_flights_AC_3,Direct_pax,Transfering_pax,OD_pair,Total pax,Total flights
30,LIRF,EGPH,Rome,Edinburgh,POINT (12.239712 41.77354),POINT (-3.3725 55.95),"LINESTRING (12.239712 41.77354, -3.3725 55.95)","LINESTRING (12.239712 41.77354, 2.55 49.0128, -3.3725 55.95)",0.0,0.0,0.0,0.0,0,EGPH_LIRF,0.0,0.0
31,LIRF,LFQQ,Rome,Lille,POINT (12.239712 41.77354),POINT (3.1025 50.5669),"LINESTRING (12.239712 41.77354, 3.1025 50.5669)","LINESTRING (12.239712 41.77354, 2.55 49.0128, 3.1025 50.5669)",-0.0,0.0,0.0,-0.0,0,LFQQ_LIRF,0.0,0.0
32,LIRF,LPPT,Rome,Lisbon,POINT (12.239712 41.77354),POINT (-9.1359 38.7813),"LINESTRING (12.239712 41.77354, -9.1359 38.7813)","LINESTRING (12.239712 41.77354, 2.55 49.0128, -9.1359 38.7813)",-0.0,0.0,0.0,-0.0,0,LIRF_LPPT,0.0,0.0
33,EDDT,LIRF,Berlin,Rome,POINT (13.2877 52.5597),POINT (12.239712 41.77354),"LINESTRING (13.2877 52.5597, 12.239712 41.77354)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 12.239712 41.77354)",-0.0,-0.0,0.0,-0.0,0,EDDT_LIRF,0.0,0.0
35,EDDT,RJAA,Berlin,Tokyo,POINT (13.2877 52.5597),POINT (140.3843 35.7702),"LINESTRING (13.2877 52.5597, 140.3843 35.7702)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 140.3843 35.7702)",0.0,0.0,0.0,0.0,0,EDDT_RJAA,0.0,0.0
36,EDDT,EDDM,Berlin,Munich,POINT (13.2877 52.5597),POINT (11.7861 48.3538),"LINESTRING (13.2877 52.5597, 11.7861 48.3538)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 11.7861 48.3538)",1.0,-0.0,0.0,56.0,0,EDDM_EDDT,56.0,1.0
37,EDDT,LFPG,Berlin,Paris,POINT (13.2877 52.5597),POINT (2.55 49.0128),"LINESTRING (13.2877 52.5597, 2.55 49.0128)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 2.55 49.0128)",0.0,4.0,-0.0,197.0,283,EDDT_LFPG,480.0,4.0
38,EDDT,SAEZ,Berlin,Buenos Aires,POINT (13.2877 52.5597),POINT (-58.5373 -34.8165),"LINESTRING (13.2877 52.5597, -58.5373 -34.8165)","LINESTRING (13.2877 52.5597, 2.55 49.0128, -58.5373 -34.8165)",0.0,0.0,0.0,0.0,0,EDDT_SAEZ,0.0,0.0
39,EDDT,CYYZ,Berlin,Toronto,POINT (13.2877 52.5597),POINT (-79.6145 43.6817),"LINESTRING (13.2877 52.5597, -79.6145 43.6817)","LINESTRING (13.2877 52.5597, 2.55 49.0128, -79.6145 43.6817)",0.0,0.0,0.0,0.0,0,CYYZ_EDDT,0.0,0.0
40,EDDT,MMMX,Berlin,Mexico city,POINT (13.2877 52.5597),POINT (-99.0719 19.4361),"LINESTRING (13.2877 52.5597, -99.0719 19.4361)","LINESTRING (13.2877 52.5597, 2.55 49.0128, -99.0719 19.4361)",0.0,0.0,0.0,0.0,0,EDDT_MMMX,0.0,0.0
41,EDDT,CYVR,Berlin,Vancouver,POINT (13.2877 52.5597),POINT (-123.1788 49.1951),"LINESTRING (13.2877 52.5597, -123.1788 49.1951)","LINESTRING (13.2877 52.5597, 2.55 49.0128, -123.1788 49.1951)",0.0,0.0,0.0,0.0,0,CYVR_EDDT,0.0,0.0
42,EDDT,EDDF,Berlin,Frankfurt,POINT (13.2877 52.5597),POINT (8.5706 50.0333),"LINESTRING (13.2877 52.5597, 8.5706 50.0333)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 8.5706 50.0333)",1.0,-0.0,0.0,56.0,0,EDDF_EDDT,56.0,1.0
43,EDDT,KJFK,Berlin,New York,POINT (13.2877 52.5597),POINT (-73.7797 40.6446),"LINESTRING (13.2877 52.5597, -73.7797 40.6446)","LINESTRING (13.2877 52.5597, 2.55 49.0128, -73.7797 40.6446)",0.0,0.0,0.0,0.0,0,EDDT_KJFK,0.0,0.0
44,EDDT,SBGL,Berlin,Rio de Janeiro,POINT (13.2877 52.5597),POINT (-43.2566 -22.8053),"LINESTRING (13.2877 52.5597, -43.2566 -22.8053)","LINESTRING (13.2877 52.5597, 2.55 49.0128, -43.2566 -22.8053)",0.0,0.0,0.0,0.0,0,EDDT_SBGL,0.0,0.0
45,EDDT,LEMD,Berlin,Madrid,POINT (13.2877 52.5597),POINT (-3.5626 40.4719),"LINESTRING (13.2877 52.5597, -3.5626 40.4719)","LINESTRING (13.2877 52.5597, 2.55 49.0128, -3.5626 40.4719)",-0.0,-0.0,0.0,-0.0,0,EDDT_LEMD,0.0,0.0
46,EDDT,ZSPD,Berlin,Shanghai,POINT (13.2877 52.5597),POINT (121.8083 31.1443),"LINESTRING (13.2877 52.5597, 121.8083 31.1443)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 121.8083 31.1443)",0.0,0.0,0.0,0.0,0,EDDT_ZSPD,0.0,0.0
